loan_amnt,term,sub_grade,home_ownership,verification_status,purpose_group,delinq_2yrs_flag,inq_last_6mths_bin,total_acc_bin,emp_status_unverifiable,bin_annual_inc,bin_int_ratec,bin_dti,bin_revol_util
5000, 36 months,B1,RENT,Source Verified,Debt Management,0.0,0,10-16,0,40K-80K,8-12%,20-25,20-40%
9500, 36 months,B3,RENT,Not Verified,Debt Management,0.0,1-2,20-26,0,40K-80K,8-12%,15-20,60-80%
28000, 60 months,B3,MORTGAGE,Source Verified,Debt Management,0.0,0,26-35,0,80K-120K,8-12%,20-25,60-80%
23050, 60 months,E4,RENT,Verified,Debt Management,0.0,0,10-16,0,40K-80K,21-24%,10-15,80-100%
19200, 60 months,D1,RENT,Verified,Debt Management,0.0,0-1,10-16,0,40K-80K,15-21%,10-15,40-60%
24575, 36 months,C2,MORTGAGE,Verified,Debt Management,0.0,0,35+,0,40K-80K,15-21%,25-30,60-80%
12000, 60 months,C2,MORTGAGE,Not Verified,Debt Management,0.0,0-1,10-16,0,40K-80K,12-15%,<5,40-60%
4300, 36 months,C2,RENT,Not Verified,Debt Management,0.0,0,10-16,0,40K-80K,12-15%,25-30,60-80%
6000, 36 months,B3,MORTGAGE,Not Verified,Debt Management,0.0,0,0-10,0,80K-120K,8-12%,5-10,80-100%
10700, 36 months,C2,RENT,Not Verified,Debt Management,0.0,0,10-16,0,80K-120K,15-21%,15-20,60-80%
7000, 36 months,B2,MORTGAGE,Not Verified,Debt Management,1.0,1-2,20-26,0,>120K,8-12%,5-10,60-80%
10000, 60 months,E1,RENT,Verified,Personal Expenses,0.0,0-1,10-16,0,40K-80K,15-21%,20-25,80-100%
28000, 36 months,D2,OWN,Verified,Debt Management,0.0,0-1,16-20,0,40K-80K,15-21%,10-15,80-100%
35000, 36 months,B2,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,80K-120K,8-12%,10-15,40-60%
24000, 36 months,A4,OWN,Verified,Debt Management,0.0,2+,26-35,0,80K-120K,<8%,10-15,20-40%
12000, 36 months,B1,MORTGAGE,Not Verified,Debt Management,0.0,0-1,20-26,0,18K-40K,8-12%,10-15,20-40%
28000, 36 months,B3,MORTGAGE,Source Verified,Debt Management,0.0,0,26-35,0,80K-120K,8-12%,20-25,60-80%
5000, 36 months,B2,MORTGAGE,Not Verified,Debt Management,0.0,0,26-35,0,80K-120K,8-12%,10-15,80-100%
15000, 36 months,B2,MORTGAGE,Not Verified,Debt Management,0.0,0-1,26-35,0,40K-80K,8-12%,5-10,60-80%
12000, 36 months,B4,RENT,Not Verified,Debt Management,0.0,0,10-16,0,40K-80K,12-15%,10-15,40-60%
15000, 36 months,B4,RENT,Verified,Personal Expenses,0.0,2+,0-10,0,80K-120K,12-15%,<5,<20%
5000, 36 months,C3,OWN,Source Verified,Vehicle & Major Purchases,0.0,0,35+,0,40K-80K,15-21%,15-20,20-40%
15000, 60 months,E1,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,18K-40K,15-21%,10-15,60-80%
15000, 60 months,D2,MORTGAGE,Verified,Debt Management,0.0,0,16-20,0,40K-80K,15-21%,20-25,80-100%
35000, 60 months,E1,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,80K-120K,15-21%,15-20,40-60%
10000, 36 months,B3,RENT,Not Verified,Debt Management,1.0,0-1,35+,0,40K-80K,8-12%,25-30,20-40%
10000, 60 months,C2,RENT,Source Verified,Debt Management,0.0,0-1,35+,0,40K-80K,15-21%,5-10,60-80%
1600, 36 months,B1,MORTGAGE,Not Verified,Personal Expenses,0.0,0,16-20,0,80K-120K,8-12%,10-15,40-60%
12000, 36 months,C1,MORTGAGE,Not Verified,Debt Management,1.0,0-1,26-35,0,80K-120K,12-15%,10-15,80-100%
10000, 36 months,C4,RENT,Not Verified,Debt Management,0.0,0-1,10-16,0,40K-80K,15-21%,5-10,60-80%
17050, 36 months,B5,RENT,Not Verified,Debt Management,0.0,0,35+,0,40K-80K,12-15%,20-25,40-60%
29700, 60 months,B5,RENT,Source Verified,Debt Management,0.0,0,20-26,0,40K-80K,12-15%,25-30,60-80%
18075, 36 months,B2,RENT,Source Verified,Debt Management,0.0,0,0-10,0,40K-80K,8-12%,10-15,60-80%
15000, 36 months,D5,RENT,Verified,Debt Management,0.0,0-1,35+,0,80K-120K,15-21%,<5,60-80%
15000, 36 months,D1,MORTGAGE,Verified,Personal Expenses,0.0,0-1,26-35,0,40K-80K,12-15%,5-10,40-60%
10000, 36 months,B1,OWN,Verified,Home & Property,0.0,0,10-16,0,18K-40K,8-12%,20-25,<20%
6000, 36 months,C4,RENT,Not Verified,Debt Management,0.0,0,10-16,0,40K-80K,12-15%,15-20,40-60%
12000, 36 months,C1,MORTGAGE,Verified,Debt Management,0.0,1-2,20-26,0,40K-80K,12-15%,15-20,40-60%
7200, 36 months,A3,MORTGAGE,Not Verified,Debt Management,1.0,0-1,16-20,0,40K-80K,<8%,10-15,<20%
20000, 36 months,B3,RENT,Not Verified,Debt Management,0.0,0,35+,0,80K-120K,12-15%,20-25,40-60%
6400, 36 months,A1,MORTGAGE,Verified,Debt Management,0.0,0,16-20,0,40K-80K,<8%,5-10,<20%
28100, 36 months,C4,MORTGAGE,Verified,Debt Management,0.0,0,26-35,0,80K-120K,15-21%,20-25,80-100%
6000, 36 months,C1,RENT,Verified,Vehicle & Major Purchases,0.0,0,0-10,0,18K-40K,12-15%,20-25,<20%
19350, 60 months,E4,OWN,Verified,Debt Management,0.0,0,26-35,0,40K-80K,15-21%,30-35,40-60%
11000, 60 months,D3,MORTGAGE,Verified,Debt Management,0.0,0-1,26-35,0,18K-40K,15-21%,15-20,20-40%
4000, 36 months,C2,RENT,Not Verified,Debt Management,0.0,0-1,20-26,0,80K-120K,12-15%,15-20,60-80%
14275, 36 months,B1,RENT,Not Verified,Debt Management,0.0,0,20-26,0,40K-80K,8-12%,10-15,60-80%
12000, 36 months,D2,RENT,Verified,Vehicle & Major Purchases,0.0,0-1,26-35,0,>120K,15-21%,10-15,80-100%
26500, 36 months,D3,RENT,Verified,Business & Education,0.0,1-2,26-35,0,>120K,15-21%,20-25,80-100%
6100, 36 months,C4,RENT,Verified,Vehicle & Major Purchases,0.0,0-1,10-16,0,40K-80K,15-21%,5-10,40-60%
5375, 36 months,D4,MORTGAGE,Verified,Debt Management,0.0,0,0-10,0,40K-80K,15-21%,15-20,60-80%
12000, 36 months,A3,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,40K-80K,<8%,20-25,40-60%
9950, 36 months,B4,MORTGAGE,Source Verified,Personal Expenses,0.0,0,20-26,0,40K-80K,12-15%,20-25,60-80%
13500, 36 months,B3,MORTGAGE,Not Verified,Debt Management,0.0,0,35+,0,40K-80K,12-15%,20-25,80-100%
11000, 36 months,C3,RENT,Verified,Debt Management,0.0,0,0-10,0,40K-80K,15-21%,10-15,60-80%
15550, 36 months,B1,MORTGAGE,Verified,Debt Management,0.0,0,10-16,0,40K-80K,8-12%,10-15,80-100%
3950, 36 months,B2,RENT,Verified,Debt Management,0.0,0,10-16,0,<18K,8-12%,20-25,40-60%
30000, 60 months,D3,RENT,Verified,Debt Management,0.0,0-1,20-26,0,40K-80K,15-21%,5-10,40-60%
8000, 36 months,C5,MORTGAGE,Not Verified,Debt Management,0.0,2+,35+,0,40K-80K,15-21%,10-15,40-60%
9875, 36 months,D2,MORTGAGE,Not Verified,Debt Management,1.0,0,26-35,0,40K-80K,15-21%,>35,60-80%
4500, 36 months,B4,RENT,Verified,Business & Education,0.0,0,10-16,1,18K-40K,12-15%,25-30,40-60%
20000, 36 months,A5,RENT,Not Verified,Debt Management,0.0,0,20-26,0,80K-120K,8-12%,5-10,60-80%
18000, 60 months,D5,MORTGAGE,Verified,Personal Expenses,0.0,0,10-16,0,40K-80K,15-21%,25-30,60-80%
8000, 36 months,B3,RENT,Not Verified,Debt Management,0.0,0,16-20,0,18K-40K,12-15%,20-25,60-80%
24000, 36 months,B2,MORTGAGE,Verified,Debt Management,0.0,2+,35+,0,80K-120K,8-12%,30-35,60-80%
10000, 36 months,B3,RENT,Not Verified,Debt Management,0.0,0,10-16,0,40K-80K,12-15%,20-25,40-60%
10000, 36 months,E3,MORTGAGE,Not Verified,Debt Management,1.0,0-1,26-35,0,40K-80K,21-24%,5-10,80-100%
12000, 36 months,B5,RENT,Source Verified,Debt Management,0.0,0-1,26-35,0,40K-80K,12-15%,20-25,60-80%
10575, 36 months,E5,RENT,Verified,Personal Expenses,0.0,0,16-20,0,18K-40K,21-24%,20-25,40-60%
4800, 36 months,A5,RENT,Not Verified,Debt Management,0.0,0,35+,0,40K-80K,8-12%,30-35,<20%
8000, 36 months,B1,MORTGAGE,Not Verified,Debt Management,0.0,0,26-35,0,80K-120K,8-12%,20-25,80-100%
3125, 36 months,A5,RENT,Verified,Business & Education,0.0,0,0-10,0,<18K,8-12%,20-25,40-60%
8125, 36 months,B1,OWN,Verified,Debt Management,0.0,0,26-35,0,18K-40K,8-12%,30-35,20-40%
35000, 36 months,C4,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,80K-120K,15-21%,15-20,80-100%
7200, 36 months,B5,OWN,Source Verified,Debt Management,0.0,1-2,26-35,0,18K-40K,12-15%,20-25,40-60%
15825, 60 months,D1,MORTGAGE,Not Verified,Debt Management,0.0,0-1,35+,0,40K-80K,15-21%,25-30,40-60%
16800, 60 months,B1,MORTGAGE,Source Verified,Debt Management,0.0,0-1,20-26,0,80K-120K,8-12%,5-10,20-40%
7000, 36 months,A2,OWN,Not Verified,Debt Management,0.0,0,20-26,0,40K-80K,<8%,10-15,20-40%
14000, 36 months,B1,MORTGAGE,Not Verified,Debt Management,0.0,0,16-20,0,40K-80K,8-12%,5-10,40-60%
27000, 36 months,C1,MORTGAGE,Source Verified,Debt Management,0.0,0,10-16,0,80K-120K,12-15%,10-15,60-80%
2000, 36 months,B5,RENT,Not Verified,Personal Expenses,0.0,0-1,0-10,0,18K-40K,12-15%,15-20,60-80%
18000, 36 months,A4,MORTGAGE,Source Verified,Debt Management,0.0,0,20-26,0,40K-80K,<8%,<5,60-80%
20475, 60 months,D5,RENT,Verified,Debt Management,0.0,0,16-20,0,40K-80K,15-21%,25-30,80-100%
15000, 36 months,D2,MORTGAGE,Verified,Debt Management,0.0,0,35+,0,80K-120K,15-21%,10-15,60-80%
21000, 60 months,F2,OWN,Source Verified,Debt Management,1.0,0-1,16-20,0,80K-120K,21-24%,5-10,40-60%
14000, 60 months,B3,RENT,Source Verified,Personal Expenses,0.0,0,26-35,0,40K-80K,8-12%,20-25,<20%
4725, 36 months,E4,MORTGAGE,Verified,Personal Expenses,1.0,1-2,35+,1,40K-80K,15-21%,30-35,40-60%
16950, 36 months,C3,MORTGAGE,Source Verified,Debt Management,0.0,2+,20-26,0,40K-80K,15-21%,20-25,40-60%
4000, 36 months,D1,RENT,Verified,Debt Management,1.0,0-1,26-35,0,18K-40K,15-21%,25-30,80-100%
20000, 36 months,B4,MORTGAGE,Source Verified,Debt Management,0.0,0,26-35,0,40K-80K,12-15%,10-15,60-80%
7600, 36 months,C4,RENT,Not Verified,Personal Expenses,0.0,0-1,0-10,0,40K-80K,15-21%,<5,20-40%
5000, 36 months,C2,MORTGAGE,Not Verified,Debt Management,0.0,1-2,35+,0,18K-40K,12-15%,20-25,20-40%
20000, 36 months,B2,RENT,Verified,Debt Management,1.0,0-1,35+,0,40K-80K,8-12%,15-20,40-60%
16000, 36 months,A5,RENT,Source Verified,Debt Management,0.0,0-1,35+,0,40K-80K,8-12%,25-30,80-100%
30000, 60 months,F4,RENT,Source Verified,Debt Management,0.0,0,35+,0,40K-80K,>24%,20-25,80-100%
28000, 36 months,A3,MORTGAGE,Verified,Debt Management,0.0,0,26-35,0,>120K,<8%,15-20,60-80%
15600, 36 months,A5,MORTGAGE,Source Verified,Debt Management,0.0,0,35+,0,40K-80K,8-12%,10-15,<20%
25000, 60 months,B2,MORTGAGE,Source Verified,Home & Property,0.0,1-2,20-26,0,80K-120K,8-12%,10-15,20-40%
11400, 36 months,B1,MORTGAGE,Source Verified,Debt Management,0.0,0,10-16,0,40K-80K,8-12%,10-15,60-80%
20675, 60 months,E3,RENT,Verified,Debt Management,0.0,0,10-16,0,40K-80K,15-21%,30-35,80-100%
5000, 36 months,D3,MORTGAGE,Verified,Debt Management,0.0,1-2,35+,0,>120K,15-21%,25-30,60-80%
16000, 60 months,B3,MORTGAGE,Verified,Debt Management,0.0,0-1,20-26,0,40K-80K,12-15%,15-20,60-80%
24000, 36 months,A4,MORTGAGE,Not Verified,Debt Management,0.0,0,16-20,0,80K-120K,<8%,10-15,80-100%
20000, 36 months,B2,MORTGAGE,Source Verified,Debt Management,0.0,0,0-10,0,80K-120K,8-12%,5-10,40-60%
15000, 60 months,F3,OWN,Verified,Debt Management,0.0,1-2,26-35,0,40K-80K,>24%,5-10,80-100%
6000, 36 months,B4,RENT,Not Verified,Debt Management,0.0,0,0-10,0,18K-40K,8-12%,5-10,40-60%
5375, 36 months,D2,MORTGAGE,Not Verified,Debt Management,1.0,1-2,10-16,0,40K-80K,15-21%,20-25,20-40%
17600, 36 months,C3,MORTGAGE,Not Verified,Debt Management,0.0,0,20-26,0,40K-80K,12-15%,25-30,80-100%
20000, 60 months,E4,MORTGAGE,Verified,Debt Management,0.0,0,10-16,0,40K-80K,15-21%,10-15,80-100%
20675, 36 months,C1,RENT,Verified,Debt Management,0.0,0-1,20-26,0,40K-80K,12-15%,10-15,40-60%
5425, 36 months,A5,MORTGAGE,Not Verified,Debt Management,0.0,2+,35+,0,40K-80K,8-12%,20-25,40-60%
12000, 36 months,A4,MORTGAGE,Source Verified,Debt Management,0.0,2+,35+,0,40K-80K,<8%,15-20,20-40%
8875, 36 months,D2,RENT,Verified,Business & Education,0.0,0,26-35,0,18K-40K,15-21%,15-20,60-80%
19075, 36 months,B1,RENT,Source Verified,Personal Expenses,0.0,0,0-10,0,80K-120K,8-12%,5-10,<20%
8400, 36 months,B2,MORTGAGE,Source Verified,Debt Management,1.0,0-1,0-10,0,40K-80K,8-12%,<5,40-60%
24000, 36 months,F1,MORTGAGE,Source Verified,Debt Management,0.0,2+,20-26,0,40K-80K,15-21%,20-25,80-100%
8000, 36 months,D1,RENT,Source Verified,Debt Management,0.0,0,26-35,0,40K-80K,15-21%,20-25,40-60%
8000, 36 months,B4,OWN,Verified,Home & Property,1.0,0,26-35,0,40K-80K,12-15%,5-10,40-60%
11000, 36 months,C4,RENT,Not Verified,Debt Management,0.0,1-2,0-10,0,40K-80K,15-21%,10-15,40-60%
6000, 36 months,B3,RENT,Source Verified,Debt Management,0.0,0,0-10,0,18K-40K,12-15%,5-10,80-100%
10000, 36 months,B3,MORTGAGE,Not Verified,Debt Management,0.0,0-1,20-26,0,40K-80K,12-15%,10-15,60-80%
5000, 36 months,C2,RENT,Not Verified,Debt Management,1.0,2+,16-20,0,18K-40K,12-15%,25-30,40-60%
9600, 36 months,B2,MORTGAGE,Verified,Debt Management,0.0,0,35+,1,40K-80K,8-12%,5-10,<20%
7875, 60 months,D3,OWN,Not Verified,Vehicle & Major Purchases,0.0,0-1,10-16,0,18K-40K,15-21%,10-15,60-80%
20000, 36 months,A3,MORTGAGE,Verified,Debt Management,0.0,0-1,20-26,0,80K-120K,<8%,15-20,40-60%
24500, 60 months,C4,MORTGAGE,Verified,Debt Management,0.0,0,10-16,0,40K-80K,15-21%,5-10,80-100%
5000, 60 months,F3,MORTGAGE,Verified,Personal Expenses,1.0,2+,35+,0,80K-120K,21-24%,10-15,60-80%
15000, 36 months,B4,RENT,Verified,Debt Management,1.0,2+,26-35,0,40K-80K,12-15%,25-30,20-40%
30000, 60 months,D5,MORTGAGE,Verified,Debt Management,0.0,0-1,35+,0,>120K,15-21%,20-25,80-100%
15000, 36 months,B3,MORTGAGE,Source Verified,Debt Management,0.0,0,20-26,0,80K-120K,8-12%,10-15,80-100%
20000, 60 months,E5,MORTGAGE,Verified,Home & Property,0.0,0-1,26-35,0,40K-80K,21-24%,5-10,20-40%
11100, 36 months,D1,OWN,Verified,Debt Management,0.0,1-2,26-35,0,18K-40K,15-21%,20-25,40-60%
2000, 36 months,D2,MORTGAGE,Source Verified,Personal Expenses,0.0,2+,26-35,0,18K-40K,12-15%,15-20,60-80%
8000, 36 months,B2,MORTGAGE,Not Verified,Debt Management,0.0,0-1,10-16,0,18K-40K,8-12%,10-15,40-60%
7000, 36 months,A1,MORTGAGE,Not Verified,Home & Property,0.0,0,26-35,0,40K-80K,<8%,15-20,<20%
25000, 60 months,D1,MORTGAGE,Source Verified,Debt Management,0.0,0,26-35,0,80K-120K,15-21%,10-15,60-80%
19000, 36 months,C3,MORTGAGE,Not Verified,Debt Management,0.0,1-2,16-20,0,40K-80K,15-21%,5-10,60-80%
7200, 36 months,B2,MORTGAGE,Not Verified,Debt Management,0.0,0,26-35,0,40K-80K,8-12%,15-20,40-60%
12250, 36 months,D3,MORTGAGE,Not Verified,Debt Management,0.0,0,10-16,0,18K-40K,15-21%,15-20,80-100%
14400, 36 months,B4,RENT,Not Verified,Debt Management,0.0,0,16-20,0,40K-80K,12-15%,10-15,60-80%
6400, 36 months,D2,RENT,Source Verified,Personal Expenses,0.0,2+,26-35,0,40K-80K,15-21%,25-30,40-60%
30000, 36 months,F2,RENT,Verified,Debt Management,0.0,1-2,26-35,0,80K-120K,21-24%,15-20,80-100%
15000, 36 months,A5,RENT,Verified,Debt Management,0.0,0,20-26,0,18K-40K,<8%,20-25,<20%
3000, 36 months,B2,MORTGAGE,Source Verified,Home & Property,1.0,1-2,26-35,0,80K-120K,8-12%,20-25,40-60%
6000, 36 months,B2,RENT,Not Verified,Debt Management,0.0,0,0-10,0,18K-40K,8-12%,25-30,60-80%
22500, 36 months,B3,MORTGAGE,Source Verified,Debt Management,0.0,1-2,20-26,0,80K-120K,8-12%,15-20,60-80%
11500, 36 months,B4,RENT,Not Verified,Debt Management,0.0,0,0-10,0,18K-40K,12-15%,20-25,60-80%
14400, 36 months,B5,MORTGAGE,Not Verified,Debt Management,0.0,2+,16-20,0,40K-80K,12-15%,10-15,40-60%
10000, 60 months,F1,RENT,Source Verified,Debt Management,0.0,0,10-16,0,40K-80K,21-24%,15-20,80-100%
10800, 36 months,A4,MORTGAGE,Not Verified,Debt Management,0.0,0,35+,0,40K-80K,8-12%,10-15,40-60%
25000, 36 months,B3,RENT,Verified,Debt Management,0.0,0,26-35,0,80K-120K,8-12%,15-20,40-60%
10000, 36 months,C1,MORTGAGE,Not Verified,Debt Management,1.0,2+,35+,0,40K-80K,12-15%,15-20,40-60%
14750, 36 months,C1,RENT,Verified,Debt Management,0.0,0,20-26,0,40K-80K,12-15%,30-35,40-60%
12000, 36 months,B4,MORTGAGE,Not Verified,Personal Expenses,0.0,0,20-26,0,>120K,12-15%,5-10,40-60%
5400, 36 months,D4,MORTGAGE,Verified,Personal Expenses,0.0,2+,20-26,0,18K-40K,12-15%,<5,40-60%
4500, 36 months,A2,MORTGAGE,Not Verified,Debt Management,0.0,2+,35+,0,80K-120K,<8%,15-20,<20%
9900, 36 months,B3,RENT,Verified,Debt Management,0.0,0,20-26,0,40K-80K,12-15%,5-10,40-60%
8000, 36 months,B4,MORTGAGE,Not Verified,Debt Management,1.0,0,35+,0,40K-80K,12-15%,5-10,40-60%
2700, 36 months,A4,MORTGAGE,Verified,Business & Education,0.0,0-1,35+,0,80K-120K,<8%,25-30,60-80%
25000, 36 months,D3,OWN,Source Verified,Debt Management,1.0,0,35+,0,40K-80K,15-21%,30-35,40-60%
25000, 60 months,B5,RENT,Verified,Personal Expenses,0.0,1-2,20-26,0,80K-120K,12-15%,<5,<20%
12000, 36 months,D1,RENT,Verified,Debt Management,0.0,1-2,10-16,0,40K-80K,15-21%,10-15,40-60%
14000, 60 months,D3,OWN,Verified,Debt Management,0.0,0,20-26,0,18K-40K,15-21%,15-20,40-60%
9600, 36 months,A1,MORTGAGE,Not Verified,Debt Management,0.0,0,26-35,0,40K-80K,<8%,<5,<20%
17800, 36 months,D2,RENT,Not Verified,Debt Management,0.0,0,10-16,0,40K-80K,15-21%,15-20,80-100%
13000, 36 months,A5,RENT,Not Verified,Debt Management,0.0,0,20-26,0,40K-80K,8-12%,5-10,60-80%
11650, 36 months,B3,OWN,Not Verified,Vehicle & Major Purchases,0.0,1-2,35+,0,40K-80K,8-12%,25-30,20-40%
20000, 36 months,D4,RENT,Verified,Debt Management,0.0,1-2,0-10,0,40K-80K,15-21%,20-25,40-60%
20000, 36 months,B4,RENT,Not Verified,Debt Management,1.0,0,0-10,0,80K-120K,12-15%,5-10,60-80%
14400, 60 months,C4,MORTGAGE,Verified,Debt Management,0.0,2+,35+,0,80K-120K,15-21%,15-20,20-40%
21000, 36 months,A1,RENT,Source Verified,Debt Management,0.0,1-2,26-35,0,80K-120K,<8%,20-25,20-40%
8000, 36 months,A4,OWN,Source Verified,Home & Property,0.0,0,10-16,0,40K-80K,<8%,<5,20-40%
27300, 60 months,E3,RENT,Verified,Debt Management,0.0,1-2,26-35,0,40K-80K,21-24%,25-30,40-60%
16000, 36 months,B5,OWN,Source Verified,Debt Management,0.0,0-1,0-10,0,40K-80K,12-15%,<5,40-60%
14300, 36 months,C3,OWN,Verified,Debt Management,0.0,2+,35+,0,40K-80K,15-21%,20-25,20-40%
11325, 60 months,C3,RENT,Verified,Debt Management,0.0,0-1,10-16,0,40K-80K,15-21%,15-20,20-40%
11025, 60 months,F1,OWN,Source Verified,Debt Management,0.0,1-2,35+,0,40K-80K,21-24%,30-35,60-80%
12000, 60 months,C4,MORTGAGE,Verified,Home & Property,0.0,1-2,16-20,0,40K-80K,12-15%,10-15,20-40%
9000, 36 months,B5,OWN,Source Verified,Debt Management,0.0,0,35+,0,18K-40K,8-12%,5-10,20-40%
7000, 36 months,C2,RENT,Source Verified,Debt Management,0.0,0-1,0-10,0,18K-40K,12-15%,10-15,80-100%
9000, 36 months,C2,MORTGAGE,Verified,Debt Management,0.0,2+,16-20,0,40K-80K,15-21%,10-15,80-100%
8000, 36 months,B5,MORTGAGE,Source Verified,Debt Management,0.0,1-2,26-35,0,40K-80K,12-15%,5-10,20-40%
19350, 60 months,E5,MORTGAGE,Source Verified,Debt Management,0.0,0-1,16-20,0,40K-80K,21-24%,15-20,40-60%
6000, 36 months,B3,RENT,Source Verified,Debt Management,0.0,0,0-10,0,40K-80K,12-15%,10-15,60-80%
3000, 36 months,C5,RENT,Not Verified,Personal Expenses,0.0,0-1,26-35,0,80K-120K,12-15%,15-20,60-80%
6000, 36 months,B2,RENT,Source Verified,Debt Management,0.0,0,26-35,0,18K-40K,8-12%,20-25,40-60%
15000, 60 months,C4,MORTGAGE,Verified,Debt Management,0.0,1-2,26-35,0,40K-80K,12-15%,20-25,80-100%
12000, 36 months,A2,MORTGAGE,Verified,Debt Management,1.0,0,26-35,0,18K-40K,<8%,20-25,40-60%
35000, 36 months,E3,OWN,Verified,Debt Management,1.0,2+,26-35,0,>120K,21-24%,10-15,80-100%
5000, 36 months,B2,OWN,Not Verified,Debt Management,0.0,0,10-16,0,18K-40K,8-12%,5-10,40-60%
30000, 36 months,C2,RENT,Source Verified,Debt Management,0.0,0,26-35,0,80K-120K,15-21%,15-20,40-60%
4350, 36 months,D5,MORTGAGE,Not Verified,Debt Management,1.0,0,26-35,0,40K-80K,15-21%,30-35,80-100%
1000, 36 months,C2,RENT,Not Verified,Vehicle & Major Purchases,0.0,0,20-26,0,18K-40K,12-15%,10-15,<20%
19425, 60 months,G3,RENT,Source Verified,Debt Management,0.0,0-1,20-26,0,40K-80K,>24%,15-20,40-60%
7000, 60 months,D5,MORTGAGE,Verified,Vehicle & Major Purchases,0.0,2+,35+,0,80K-120K,15-21%,20-25,80-100%
9000, 36 months,A4,MORTGAGE,Not Verified,Debt Management,0.0,0,20-26,0,40K-80K,<8%,<5,40-60%
2800, 36 months,E3,MORTGAGE,Not Verified,Personal Expenses,0.0,0-1,10-16,0,40K-80K,21-24%,10-15,80-100%
8500, 60 months,E3,RENT,Verified,Debt Management,0.0,0,0-10,1,18K-40K,15-21%,15-20,80-100%
18875, 60 months,D3,RENT,Verified,Debt Management,0.0,0,20-26,0,40K-80K,15-21%,>35,60-80%
19000, 36 months,B3,MORTGAGE,Verified,Debt Management,0.0,0,26-35,0,40K-80K,12-15%,10-15,80-100%
19125, 36 months,B4,MORTGAGE,Verified,Debt Management,0.0,0,16-20,0,40K-80K,12-15%,15-20,60-80%
4000, 36 months,C3,RENT,Not Verified,Vehicle & Major Purchases,0.0,1-2,26-35,0,80K-120K,12-15%,10-15,20-40%
2200, 60 months,D2,MORTGAGE,Verified,Debt Management,0.0,2+,35+,0,40K-80K,15-21%,25-30,80-100%
10300, 60 months,D2,MORTGAGE,Verified,Debt Management,0.0,0,20-26,0,40K-80K,15-21%,5-10,40-60%
